StadiumID,Active,Name,Address,City,State,Zip,Country,Capacity,GeoLat,GeoLong
54,True,Delta Center,301 S Temple,Salt Lake City,UT,84101,USA,18300,40.768333,-111.901111
55,True,Angel of the Winds Arena,2000 Hewitt Avenue,Everett,WA,98201,USA,10000,47.978611,-122.203611
56,True,Cable Dahmer Arena,19100 E Valley View Pkwy,Independence,MO,64005,USA,5800,0.0,0.0
57,True,accesso ShoWare Center,625 W James St,Kent,WA,98032,USA,6500,0.0,0.0
58,True,El Paso County Coliseum,4100 East Paisano Street,El Paso,TX,79905,USA,6500,0.0,0.0
59,True,Amway Center,400 W Church St,Orlando,FL,32801,USA,20000,28.539167,-81.383611
60,True,Tim Hortons Field,64 Melrose Ave N,Hamilton,ON,L8L 8C1,Canada,23218,43.252114,-79.8301
61,True,Mullett Arena,411 S. Packard Dr.,Tempe,AZ,85281,USA,5000,33.426667,-111.928611
62,False,Fenway Park,4 Jersey Street,Boston,MA,02215,USA,37305,42.34625,-71.09775
63,True,Carter-Finley Stadium,4600 Trinity Rd,Raleigh,NC,27607,USA,57583,0.0,0.0
64,True,Nokia Arena,Sorinkatu 3,Tampere,,,Finland,13455,61.493952,23.772955
65,False,Intrust Bank Arena,500 E Waterman St,Wichita,KS,67202,USA,13450,37.683056,-97.331389
66,False,Tucson Convention Center Arena,260 S Church Ave,Tucson,AZ,85701,USA,6791,32.218333,-110.974167
67,False,BOK Center,200 S Denver Ave,Tulsa,OK,74103,USA,17096,36.152722,-95.996333
68,False,Toyota Arena,4000 E Ontario Center Pkwy,Ontario,CA,,USA,9736,34.072947,-117.566401
69,False,CAA Arena,265 Canifton Rd,Belleville,ON,K8N 4V8,Canada,4365,44.188611,-77.382778
70,False,Fiserv Forum,1111 Vel R. Phillips Ave,Milwaukee,WI,53203,USA,15178,43.045028,-87.918167
71,False,Steele Community Centre,155 Airport Blvd,Gander,NL,A1V 1K6,Canada,,0.0,0.0
72,False,Idaho Central Arena,233 S Capitol Blvd,Boise,ID,83702,USA,5002,43.614,-116.204
73,False,J.K. Irving Centre,30 Rue Evangeline,Bouctouche,NB,E4S 3E4,Canada,,0.0,0.0
74,False,Rod Laver Arena,Olympic Blvd,Melbourne,Victoria,3001,Australia,14820,-37.821667,144.978333
75,False,H-E-B Center at Cedar Park,2100 Ave of the Stars,Cedar Park,TX,78613,USA,8000,30.5414,-97.8202
76,False,Joe Thornton Community Centre,75 Caso Crossing,St. Thomas,ON,N5P 3V7,Canada,,0.0,0.0
77,False,Acrisure Arena,75702 Varner Road,Palm Desert,CA,92211,USA,9918,33.779167,-116.338889
78,False,Pechanga Arena,3500 Sports Arena Blvd,San Diego,CA,92110,USA,14600,32.755278,-117.212222
79,True,MetLife Stadium,1 MetLife Stadium Dr,East Rutherford,NJ,07073,USA,82500,40.813528,-74.074361
80,True,T-Mobile Park,1250 1st Ave S,Seattle,WA,98134,USA,47929,47.591358,-122.333
81,True,Commonwealth Stadium,11000 Stadium Rd,Edmonton,AB,AB T5H 4E2,Canada,56302,53.558333,-113.475
82,False,Centre 200,481 George St,Sydney,NS,B1P 1K5,Canada,5000,46.1375,-60.190278
83,False,Scotiabank Centre,1800 Argyle St,Halifax,NS,B3J 2V9,Canada,11093,44.648333,-63.576667
